num_distr,mouse.t+B1:B193ime,mouse.clicked_name,,,,
5,1.32903798,target',,,,
5,2.795358419,target',,,,
5,2.964983062,target',,,,
5,0.970845429,target',,,,
5,1.120095514,target',,,,
5,1.247294802,target',,,,
5,[1.327248725006939],[],,,,
5,0.99428115,target',,,,
5,0.992784474,target',,,,
5,2.024706939,target',,,,
5,0.950723677,target',,,,
5,1.252156682,target',,,,
5,1.263969946,target',,,,
5,1.109548272,target',,,,
5,1.506376469,target',,,,
5,1.041185264,target',,,,
5,1.061285783,target',,,,
5,1.177725347,target',,,,
5,[0.9519444089964963],[],,,,
5,1.531859364,target',,,,
5,1.418988807,target',,,,
5,1.249968781,target',,,,
5,1.411338832,target',,,,
5,1.182856094,target',,,,
5,1.188590197,target',,,,
5,1.496494675,target',,,,
5,1.586214834,target',,,,
5,1.255914758,target',,,,
5,1.409587014,target',,,,
5,1.469054467,target',,,,
5,1.298336544,target',,,,
5,1.296637498,target',,,,
5,1.422992868,target',,,,
5,1.496923993,target',,,,
5,1.293540253,target',,,,
5,1.144200059,target',,,,
5,1.415651254,target',,,,
5,1.156245322,target',,,,
5,1.300434831,target',,,,
5,0.96945675,target',,,,
5,1.316142477,target',,,,
5,1.284944023,target',,,,
5,1.662945623,target',,,,
5,1.557531984,target',,,,
5,1.113865578,target',,,,
5,1.186081359,target',,,,
5,1.723306679,target',,,,
5,1.603783278,target',,,,
5,2.088050016,target',,,,
5,1.792569875,target',,,,
5,1.459259206,target',,,,
5,1.302060751,target',,,,
5,1.292554358,target',,,,
5,2.09537093,target',,,,
5,1.365406576,target',,,,
5,1.472360868,target',,,,
5,0.945297557,target',,,,
5,1.135472087,target',,,,
5,1.373300069,target',,,,
5,0.835839241,target',,,,
5,1.06989412,target',,,,
5,1.305807644,target',,,,
5,1.202756636,target',,,,
5,1.129150689,target',,,,
5,1.420713309,target',,,,
5,1.092586605,target',,,,
5,1.294525274,target',,,,
5,1.036278177,target',,,,
5,1.331795208,target',,,,
5,1.511355259,target',,,,
5,1.462202628,target',,,,
5,1.082787198,target',,,,
5,1.184985867,target',,,,
5,1.173964694,target',,,,
5,1.432631142,target',,,,
5,1.436844931,target',,,,
5,1.4374073,target',,,,
5,1.3421431,target',,,,
5,1.2313186,target',,,,
5,1.1976226,target',,,,
